Codigo Cliente;Cliente;Fecha Nacimiento
10705;Felicidad Romeu Amor;1979-07-01
10706;Remedios Llano-Sáez;1980-03-10
10707;Jose Ángel Hervia;2001-07-27
10708;Dionisia Nazaret Canet Téllez;1956-07-19
10709;Victor del Baeza;1948-03-22
10710;Josefa Murillo Vidal;1996-11-15
10711;Carmela del Cabañas;1989-02-06
10712;Consuela Cabrero Morata;2003-06-27
10713;Ema de Jódar;1995-08-08
10714;Mamen Maestre Pallarès;1980-09-07
10715;Jacinta Pons Castells;1954-04-30
10716;Viviana Gascón Pardo;1966-04-23
10717;Mauricio Palomo Uribe;1973-07-01
10718;Marta Bolaños Torrents;1977-03-07
10719;Susana del Benitez;1988-04-11
10720;Manuelita del Pacheco;2001-08-06
10721;Jacobo Diego Montalbán;1969-06-04
10722;Jenny Barón Guardia;1979-02-01
10723;Piedad Fuente Pons;1978-05-09
10724;Asdrubal Esparza Rozas;1989-07-29
10725;Luisa Ferrer-Santamaría;1964-02-02
10726;Jose Ignacio del Mosquera;1968-06-19
10727;Juan Carlos Acedo Escolano;1988-06-05
10728;Quirino Valencia-Paredes;1978-10-05
10729;Belén Nevado Rey;1969-06-17
10730;Adolfo Sosa Guitart;1999-01-10
10731;Florinda Pozo Grande;1970-12-24
10732;Remigio Atilio Raya Catalán;1960-03-10
10733;Cruz Duque Coll;1950-06-04
10734;Reyes Cisneros;1994-04-29
10735;Serafina Fonseca;1984-12-03
10736;Chus Godoy Sola;1979-11-22
10737;Juan del Dalmau;1996-09-05
10738;Teresita Losa Lledó;1952-06-23
10739;Mirta García-Cerdán;1999-07-20
10740;Aitana Ríos Cobos;1995-02-04
10741;María Belén Ribas-Gracia;1993-10-21
10742;Lucila Pomares Iborra;1994-10-28
10743;Emigdio Mendez Barral;1991-10-27
10744;Valeria Coloma Mariscal;1989-04-13
10745;Otilia Barón-Requena;1976-03-25
10746;Baltasar Vazquez Anglada;1959-10-17
10747;Isidro Cortes Rozas;1992-08-19
10748;Lorenza Mur Carreras;1959-04-23
10749;Nicodemo del Escolano;1991-02-27
10750;Fabio Clemente Arnal;1985-02-20
10751;Dalila Batalla-Asenjo;1998-01-15
10752;Ernesto del Garcia;1954-09-11
10753;Almudena de Piquer;1960-09-29
10754;Teófilo Pancho Bru Agustín;1957-11-25
10755;Vicenta Araujo Armengol;1983-07-19
10756;Wilfredo Urbano Quintanilla Arnal;2004-10-09
10757;Calisto Villanueva Ávila;1962-05-15
10758;Sergio Valero;1963-04-18
10759;Aureliano Guerra Ugarte;1996-02-27
10760;Adelia Alsina Iglesias;1966-06-13
10761;César de Grande;1964-05-09
10762;Florentino Vicente;1961-03-03
10763;Iker Édgar Múñiz Coronado;1966-09-03
10764;Albano Osvaldo Milla Bejarano;1971-06-18
10765;Samanta Rico Español;1953-02-14
10766;Zacarías Ibarra;2001-10-24
10767;Pía Camacho Bosch;1985-01-05
10768;Adriana Garcés-Pinedo;1964-04-14
10769;Joan Mateo Roldán;1993-03-09
10770;Ignacio de Viñas;1980-10-14
10771;Leopoldo Portero Roldan;1978-07-03
10772;Xiomara Matilde Valbuena Matas;1973-03-05
10773;Violeta Vega-Méndez;1970-10-31
10774;Luís Aguilar Escrivá;1990-02-20
10775;Perla Barral Montaña;1997-08-23
10776;Zacarías Gibert;1991-03-09
10777;Pascual Cabo Soria;2000-08-28
10778;Samanta Rios Iñiguez;1956-03-12
10779;Adalberto de Alarcón;2004-09-25
10780;Tomás Peralta Téllez;1999-09-22
10781;Atilio Miralles Rosales;1995-06-17
10782;Ramona Bustamante Fuster;2004-05-08
10783;Moreno Adadia Adán;1957-01-18
10784;Alcides Esteve-González;1968-10-30
10785;Urbano del Azcona;1952-10-30
10786;Beatriz Rodrigo Montesinos;2004-02-01
10787;Serafina de Noriega;1966-07-07
10788;Damián Muñoz Calderon;1947-07-15
10789;Eli Pedrosa Camps;2004-07-20
10790;Lucho Nicolás Tur;1949-01-16
10791;Sebastian Benavente Cervera;1954-08-20
10792;Jesusa del Giner;1991-09-08
10793;Luisina Vall Molina;1999-10-24
10794;Inmaculada Fuster Agudo;1989-02-03
10795;Juan Bautista Valcárcel;1955-04-22
10796;Gil de Vaquero;2005-05-14
10797;Mónica de Valenzuela;1999-07-20
10798;Amor Pera-Gracia;1963-05-08
10799;Zaida Josefina Carmona Salom;1986-01-25
10800;Guiomar Escobar;1965-10-11
10801;Andrea Amador;1999-08-07
10802;Natalio de Ochoa;1950-10-21
10803;Liliana Belmonte Cerdán;1994-01-16
10804;Édgar Vargas;1966-06-30
10805;Mariano Cantón Leon;2004-02-18
10806;Ovidio Garcés Melero;1976-08-06
10807;Perla Mercader Nieto;1960-07-08
10808;Susanita del Ugarte;1973-07-22
10809;Ricarda Delgado Guardia;1975-12-23
10810;Isidoro Crespo;1976-03-23
10811;Iván del Puig;1990-08-30
10812;Sigfrido Guardia Larrañaga;1980-12-30
10813;Hilario Oliveras Conde;1953-07-20
10814;Mayte Cabrero Delgado;2004-07-06
10815;Flor Flavia Castrillo Jove;1957-08-03
10816;Vasco Riquelme Verdejo;1962-05-13
10817;Daniela Tovar Beltran;1973-07-08
10818;Víctor Urrutia Blanch;1992-02-18
10819;Leire Gordillo Romero;1968-10-23
10820;Edmundo Codina Plana;1962-05-06
10821;Gabriel Vallejo Briones;1981-07-17
10822;Tecla Mireia Riquelme Estévez;1996-03-03
10823;Eugenio del Merino;1993-05-07
10824;Pilar Parra Escrivá;1987-08-14
10825;Gabriela Martínez Oliver;2001-08-14
10826;Caridad Carrillo;2002-09-12
10827;Jimena Iñiguez Arranz;1994-04-05
10828;Fátima Alarcón-Oliva;1956-02-27
10829;José Rovira Benavides;1988-11-19
10830;Jordi Barros Castrillo;1955-09-21
10831;Nieves Anglada Sans;1976-11-20
10832;Melchor Mateo Barbero;1975-10-04
10833;Pelayo Acedo-Miranda;1971-08-03
10834;Angélica Gallego;1978-11-20
10835;Calisto Carrasco;1951-10-07
10836;Xiomara Torrens Pellicer;1996-05-02
10837;Ramona Yuste Garrido;1983-03-09
10838;Nélida Clavero;1993-02-14
10839;Graciela María Manuela Vall Duque;1976-03-11
10840;Pío Pastor Aller;1961-03-22
10841;Angelita Uriarte-Núñez;1956-09-18
10842;Pío Cuesta Figueroa;1986-12-13
10843;Lina Manzano-Aguado;1994-08-06
10844;Chucho Larrea Arroyo;1974-09-23
10845;Óscar Parejo Quiroga;2004-07-27
10846;Natanael Haro-Muñoz;2004-02-16
10847;Chus Bru Jiménez;1968-12-21
10848;Consuela Robles Zorrilla;1962-03-01
10849;Alba Hoz Mercader;1973-10-20
10850;Toño Verdejo;2005-05-23
10851;Emelina Adelaida Gelabert Esteve;1997-08-21
10852;Victorino de Téllez;1949-02-16
10853;Alejandro del Espada;1972-05-10
10854;Rosendo Rojas Simó;1983-08-27
10855;Julio César Botella Navas;1999-08-09
10856;María Pilar Cano-Zorrilla;1951-04-04
10857;Pía Ximena Sosa Camino;1961-12-17
10858;Mariana Domingo Font;2000-11-16
10859;Azahar Quesada Mulet;1971-10-04
10860;María Fernanda del Adán;1962-07-18
10861;Teresa Aguilera-Barrera;1948-02-06
10862;Primitiva Fuertes Álvarez;2004-04-30
10863;Raimundo Bolaños-Zamora;1987-07-22
10864;Santiago Hernández Izquierdo;1969-11-10
10865;María Ricarda Urrutia Arteaga;1983-11-08
10866;Liliana Giménez-Abril;1975-11-18
10867;Judith Perea;1995-11-25
10868;Galo del Donaire;1954-08-22
10869;Miriam Bautista Juárez;1996-03-20
10870;Bienvenida Cuéllar;1952-03-26
10871;Eladio de Cano;1984-01-04
10872;Yago Lobato Marqués;1962-02-01
10873;Dafne Alcázar Álvaro;1961-09-18
10874;Paulino Suárez Acosta;2002-06-26
10875;Octavio Piquer-Ayllón;1989-01-16
10876;Faustino Mesa-Valentín;1957-03-03
10877;Feliciana Milla Valentín;1995-09-16
10878;Eduardo Colom Morera;1983-03-13
10879;Olalla Rios Carlos;1983-12-30
10880;Isaías Solera Fajardo;1999-06-14
10881;Macario Noé Enríquez Aroca;1992-02-14
10882;Nuria Mosquera;1949-02-22
10883;Celso Aguiló Lago;1983-11-02
10884;Guiomar Oliva Palomino;1958-04-29
10885;Liliana Morata Ojeda;1948-06-18
10886;Anacleto Ramis;1987-07-20
10887;Eulalia Alcolea Cárdenas;1991-10-12
10888;Alicia Valentín;1968-10-09
10889;Trinidad Poza Juárez;1977-11-15
10890;Vicente Ramírez;1977-01-31
10891;Josefina Robles Dominguez;1981-06-18
10892;Pío de Casanovas;1957-06-12
10893;Bernabé Puente;1976-05-09
10894;Benigno Codina Mariscal;1954-03-08
10895;Tito Pulido Esteve;1949-07-09
10896;Maxi Crespi;1949-06-25
10897;Germán Nadal Muñoz;1995-08-03
10898;Moisés del Lamas;1986-12-26
10899;Liliana Rosalinda Blazquez Casas;1972-10-08
10900;Juan Carlos de Neira;2000-10-22
10901;Itziar Atienza Álvarez;1986-05-20
10902;Prudencio del Peral;1949-01-25
10903;León Font Nieto;1970-10-05
10904;Bárbara Valero Cases;2002-10-07
10905;Hernán Moreno;1960-06-02
10906;Ulises Alcalá-Bárcena;1966-04-16
10907;Roberto Ramos;1965-01-10
10908;Albina Berrocal Pou;1983-02-24
10909;César de Grande;1987-04-06
10910;Edelmira Anna Mateos Diez;1949-03-29
10911;Fito Pino Aguiló;1949-09-12
10912;Fátima Medina;1987-03-19
10913;Rafa Víctor Peña Juárez;1965-11-01
10914;Leopoldo Duran Reyes;1965-12-24
10915;Diana Corbacho Cordero;1976-12-28
10916;Jerónimo Bolaños Saez;1965-04-14
10917;Evaristo Pou;1987-09-19
10918;Delia Jimena Planas Puga;1954-11-09
10919;Joan Llopis Baeza;1975-01-06
10920;Clímaco Nieto Vallejo;1999-06-02
10921;Jose Manuel Vigil Sanjuan;1977-11-27
10922;Olalla Palomar Bilbao;1981-04-07
10923;Ambrosio Tur;1987-01-30
10924;Valero Carranza Herrera;1995-05-29
10925;Angelino Santamaría-Casas;1957-09-13
10926;Remigio Vendrell-Viña;1997-04-14
10927;Sergio Sureda Conesa;2002-11-21
10928;Milagros Pérez Busquets;1952-03-31
10929;Leocadio de Lucena;1954-10-11
10930;Jose Ramón de Peiró;1983-03-11
10931;Noa Bertrán Agudo;1997-12-07
10932;Nicodemo Polo Carrillo;1977-12-19
10933;Nicolás Grande Morillo;1964-12-14
10934;Virgilio Valcárcel;1964-11-07
10935;Sigfrido Morales Bartolomé;1990-07-26
10936;Julio César Carranza-Serra;1982-02-06
10937;Ciro Haro-Posada;1966-02-14
10938;Paco Fiol González;1954-10-09
10939;Florencio Garriga-Galán;1949-09-29
10940;Jaime Castilla Mendez;1973-02-24
10941;Albino Sarmiento Castillo;1949-04-09
10942;Joan Carreño Palomares;1957-04-02
10943;Zaira Toledo Ramos;1964-10-27
10944;Onofre Castell Gomez;1960-08-11
10945;Marisa Hortensia Cuervo Giménez;1981-12-07
10946;Ascensión de Pozuelo;1988-11-28
10947;María Galán Cabo;1995-06-26
10948;Judith Jáuregui Castells;1961-07-04
10949;Nidia Tamayo-Escribano;1990-07-11
10950;Concha Aparicio Roig;1967-11-08
10951;Javier Lamas Cuéllar;1984-12-10
10952;Abilio de Borrell;1996-03-07
10953;Espiridión Quintero;1958-12-06
10954;Ignacio del Sabater;1967-12-05
10955;Águeda Barrera Taboada;1968-09-28
10956;Lupe Lucena Madrigal;1954-11-28
10957;Ambrosio Calzada-Ríos;1985-03-05
10958;Nazaret Alcaraz Bernal;1990-07-09
10959;Mar Cañellas Pelayo;1987-01-12
10960;Lorena Dávila Serna;1989-06-25
10961;Jose Ramón Quintana Valls;1952-11-27
10962;Amelia León Amador;1952-03-26
10963;Che Parejo Juliá;1963-11-24
10964;Martín Custodio Sanmartín Coca;1996-01-17
10965;Modesto Gómez Olmo;1963-02-25
10966;Jordana del Roldán;1996-08-04
10967;Soraya Vives Sabater;1990-06-24
10968;Susana Carlos Tejera;1953-01-23
10969;Celia Rozas Benito;2003-06-24
10970;Irma Tena Elorza;1957-06-27
10971;Abilio Hierro Gras;1993-03-14
10972;Marino Cuesta-Falcó;1984-01-26
10973;Rufina Losada Valdés;1971-12-21
10974;Osvaldo Pujol Adán;1973-08-06
10975;Che Bou;1962-08-29
10976;Hortensia Sastre Benítez;1990-08-22
10977;Lucila del Macias;1952-12-03
10978;Heriberto Hipólito Acedo Llopis;1987-01-15
10979;Purificación Garriga Tejedor;2003-04-13
10980;Coral Ribera Aguiló;1998-10-13
10981;Gerónimo Blas Portero Corral;1953-01-11
10982;Dulce Felicia Jáuregui Arnau;1999-04-20
10983;Emilio Manuel Iglesias;1950-07-16
10984;Maximiliano Haro;1997-10-31
10985;Juan Manuel Gil-Paz;2003-09-28
10986;Felicia Mancebo Pedro;1996-09-19
10987;Ágata Villegas Garzón;1975-12-25
10988;Joaquina Osuna Sanz;1985-01-11
10989;Mercedes del Fajardo;2001-08-06
10990;Eleuterio Mateu Amat;1957-04-07
10991;Demetrio Danilo Mateo Castell;1980-01-18
10992;Fabio Cordero Castejón;2003-06-12
10993;Ariadna Dominguez Torralba;1972-09-11
10994;Tristán Sanmartín Tudela;1963-09-04
10995;Toño Reig-Bravo;1970-02-10
10996;Olga del Lumbreras;1951-02-20
10997;Calixto de Paniagua;2004-10-25
10998;Paulino Armas;1979-04-06
10999;Albino Augusto Peñalver Villalobos;1961-05-05
11000;Fabio Roma Ángel;1977-06-23
11001;Xiomara Oliva Perea;1989-10-09
11002;Ezequiel Torralba Berrocal;1997-06-27
11003;Juan Manuel Zabaleta Pujol;1978-08-08
11004;Cintia Alba Gomis;1982-08-06
11005;Eustaquio Valcárcel-Becerra;2004-09-24
11006;Zacarías Alcalde Cózar;1992-03-18
11007;Alejo Guerra Leiva;1984-10-21
11008;Andrés Felipe Rosales;1964-12-23
11009;Fermín Pineda Ferrando;1958-08-20
11010;Tecla Amo Avilés;1977-05-10
11011;Calista Esteban Ferreras;2002-08-05
11012;Pancho Roura Alberto;1956-02-29
11013;Tomás Pascual;1995-05-09
11014;Lorenza Gonzalez Araujo;1957-11-02
11015;Curro Hoz Peláez;1949-07-12
11016;Eduardo Castelló González;1994-09-11
11017;Dimas Peñalver Caballero;1967-10-22
11018;Antonia Benavente;1954-10-05
11019;Cruz Manzanares Macías;1988-12-04
11020;Francisca Busquets Ripoll;1958-05-19
11021;Cecilia Garcés;1970-06-07
11022;Almudena Sotelo-Mena;1950-01-27
11023;Cosme Medina Amat;1998-05-03
11024;Coral Lorenza Font Merino;2002-05-28
11025;Hortensia Zorrilla Ortuño;1963-02-02
11026;Gil Blázquez Izquierdo;2004-07-16
11027;Ileana Obdulia Leiva Manzanares;1992-08-04
11028;Morena Arce Malo;1986-06-03
11029;Irene Lledó Salas;2004-06-06
11030;Amanda Vilanova-Mercader;1976-08-21
11031;Danilo de Palacio;1992-07-02
11032;Jose Ramón Soria;1963-09-04
11033;Josué Lozano Calatayud;1960-07-20
11034;Ligia Pelayo-Jordá;1956-03-08
11035;Hortensia Laguna Marquez;1972-05-30
11036;Paca Ortiz Chacón;1973-11-28
11037;Ruy Barroso Ariño;1984-12-26
11038;Pascual Maldonado Verdugo;1993-03-29
11039;Susanita Palma Ayuso;1965-11-16
11040;Marcio Prat;1948-12-09
11041;Abigaíl Ballester Vara;2003-07-04
11042;Dan Español Revilla;1995-11-10
11043;Ariel Barrera Coloma;1961-07-13
11044;Eligia Peñalver Huguet;1953-10-31
11045;Martirio Dorita Segovia Sosa;1958-03-18
11046;Melchor Porras Tejada;1993-11-28
11047;Marcelo del Amat;1973-11-19
11048;Luís de Duque;1995-10-24
11049;Feliciano Urrutia-Alberola;1986-04-17
11050;Felix Roldán Ureña Pacheco;1967-07-13
11051;Martirio Esparza Ibañez;1972-10-23
11052;Édgar Roma Saura;1982-12-23
11053;Lupita Santamaria;1971-03-12
11054;Diego Gaspar Gallardo Peinado;1967-07-19
11055;Noé Perera Quero;1997-11-12
11056;Rogelio Méndez Araujo;1984-01-06
11057;Rosendo Montenegro Soriano;1977-03-20
11058;Pastor Nogueira Francisco;1958-03-28
11059;Anna Perez Bárcena;1961-04-08
11060;Pelayo Palomo Carro;1981-11-27
11061;Seve del Valverde;1963-04-09
11062;Florencia Hervia-Puga;1956-04-07
11063;Maite Tormo Quirós;1993-01-03
11064;Rómulo Nuñez-Parejo;1953-11-08
11065;Emilio Barco-Vargas;1986-11-09
11066;Damián Flavio Rico Rius;1969-10-29
11067;Valeria Rueda Uriarte;2002-02-26
11068;Atilio Solana;1951-08-23
11069;Eliseo Fabricio Español Pizarro;1960-10-17
11070;Olegario Juan Aguilera Noriega;1954-10-29
11071;Pablo de Robledo;1982-12-21
11072;Reyes Bonilla Rios;1957-06-17
11073;Matías Lastra Español;1973-11-13
11074;Juan José Casares Rey;1997-02-12
11075;Bernardita Catalá Lobato;1958-06-25
11076;Isaías Roda Fuente;1996-01-22
11077;Eliana Mesa Peláez;1953-11-29
11078;Beatriz Alsina;1958-10-28
11079;Carina Sobrino Antón;1999-03-03
11080;Cristian Rodolfo Laguna Caro;1948-08-02
11081;Tomás Garrido Reina;1966-06-20
11082;Custodia Solís Campoy;1972-10-12
11083;Palmira Pinilla Alvarado;2001-09-11
11084;Sol Doménech Leal;1959-12-13
11085;Ibán del Sanchez;1991-11-25
11086;Dorotea Uribe Garay;1978-06-05
11087;Celestina de Priego;1984-12-07
11088;Selena Camino Hervás;2000-01-03
11089;Blas Vinicio Figueroa Piñol;1989-10-31
11090;Albert Tovar-Cabezas;1981-12-02
11091;Raquel Jove Valentín;1979-10-09
11092;Flor Espinosa-Benavente;1973-04-02
11093;Jacinta Blanes Fuertes;1985-09-06
11094;Josep Edelmiro Gimeno Cárdenas;1960-06-22
11095;Jose Luis del Doménech;1983-10-21
11096;Bernardo Pujadas Palomares;1985-09-17
11097;Manolo Chamorro Calvo;1999-05-31
11098;Noa Ramón Santos;1994-03-29
11099;Evita Sobrino Amorós;1991-03-04
11100;Miriam Girón Arjona;1972-01-27
11101;Octavia Pintor Valverde;1998-09-20
11102;Luciano de Montoya;2000-01-31
11103;Ángel Garmendia Márquez;1973-07-21
11104;Rosario Prats Ortuño;1997-12-01
11105;Eli Serafina Vila Ramirez;1968-05-23
11106;Fidela Guillén Oliver;1981-04-24
11107;Eutimio Vicente Paz Barrios;2003-12-03
11108;Marisa Bayo;1956-10-02
11109;Wilfredo Hurtado Plaza;2000-02-11
11110;León Simón Colom Gargallo;1973-04-26
11111;Guadalupe Beltran Cánovas;1993-04-24
11112;Jenaro Mendizábal Sanz;1984-06-14
11113;Tomás Piñeiro Fuertes;1949-04-11
11114;Eva María Bayona Tudela;1966-08-22
11115;Macario del Solé;1984-01-17
11116;Valerio Marqués Bertrán;1993-08-05
11117;Macario Ribera Clemente;1952-12-16
11118;Benito Tejada Arias;1955-02-10
11119;Zoraida Rodrigo;1971-08-12
11120;Soraya Villanueva Montesinos;1999-06-24
11121;Pilar Carbonell Puerta;1995-04-11
11122;Domingo Victor Manuel Esparza Cepeda;1985-08-11
11123;Ciriaco Leiva Guillen;1975-12-05
11124;Rosaura Tomas;1969-05-21
11125;Gerónimo Castelló Navas;1970-07-02
11126;Reynaldo Palomino Reyes;1972-08-12
11127;Irene Redondo;1995-07-12
11128;Herminio Arana Agudo;1961-09-17
11129;Luciana Crespo Paz;1966-03-02
11130;Dani Prat Recio;1966-05-23
11131;Darío Losada;1950-07-24
11132;Gala Bernad Saez;2002-08-07
11133;Fermín Casals Rueda;1997-09-19
11134;Alejo Macias Iriarte;1958-07-17
11135;Josefina de Merino;1958-04-21
11136;Ariel Verónica Busquets Priego;2005-04-16
11137;Moreno Andrés Ibáñez;1997-02-03
11138;Guadalupe Fabiola Aguilar Calleja;1948-12-12
11139;Natanael Soriano;1988-01-09
11140;Hugo del Castrillo;1951-06-26
11141;Clarisa de Bustos;2001-03-27
11142;Martín Solera Royo;1987-11-04
11143;Calixto Aguilera;1964-06-23
11144;Marianela del Sales;1981-02-01
11145;Nieves del Hidalgo;2003-11-03
11146;Araceli Sáenz Bernal;1959-09-04
11147;Victor Gomila Polo;1991-09-25
11148;Pancho Plácido Manso Aguado;1970-08-09
11149;Che Calvo Asensio;1972-06-13
11150;Casandra Ramírez Gilabert;2001-07-13
11151;Alfonso del Cantero;1988-01-22
11152;Teresa Camino Estrada;1950-12-02
11153;Atilio Pelayo Aznar;1957-02-05
11154;Edelmira Miró-Alemán;1948-08-28
11155;Abraham Berrocal Gámez;1971-12-30
11156;Candelaria Corominas Folch;2004-12-17
11157;Narciso Llobet Castelló;2000-05-05
11158;Teófilo Lucena Hoyos;1959-08-25
11159;Natanael Rios Grande;1967-09-02
11160;Luis Ángel Plana Andreu;1992-01-18
11161;Zacarías Primitivo Frutos Giner;1978-08-17
11162;Alfredo Oliver-López;1957-03-31
11163;Eustaquio Murcia Hoyos;1969-08-10
11164;Alejo Severo Lozano Camacho;2003-01-10
11165;Rosa María Izaguirre Franch;1996-09-26
11166;Feliciano Marti Céspedes;1962-03-11
11167;Patricia del Carvajal;1955-01-29
11168;Anabel Valenzuela Espada;1982-02-24
11169;Irma Ofelia Palmer Hervia;2000-09-12
11170;Tiburcio Danilo Carrasco Múñiz;1970-03-09
11171;Isabela Clemente-Parra;1977-02-09
11172;Rosario Ayuso Vázquez;1979-10-22
11173;Otilia Paz Oliver Pera;1988-06-15
11174;Lidia Sanabria Chaves;1967-10-24
11175;Jose Ignacio Puerta Sala;1954-02-25
11176;Héctor Mir Segarra;1953-03-25
11177;Santos Esparza Olivares;1997-04-30
11178;Cesar Casas Pombo;1987-10-22
11179;Fabiola Valentín Cabañas;1958-06-14
11180;Nazario Tomás Barceló;1976-08-26
11181;Mauricio Rivero-Sacristán;1959-07-16
11182;Fermín Feijoo Parejo;1972-08-29
11183;Maxi Ureña Solana;1998-04-21
11184;Alba Higueras Cases;1974-09-12
11185;Domingo del Ferrero;1989-02-01
11186;Francisco Jose Flores Bustamante;1987-01-30
11187;Chelo Casares Cadenas;1957-09-09
11188;Piedad Azorin Hierro;1953-01-04
11189;Fátima del Torrens;1985-04-03
11190;Saturnino Valera Malo;1967-04-14
11191;Maura Contreras-Ríos;2005-01-08
11192;Jose Antonio Bayona Barranco;1952-07-04
11193;Azucena Mínguez Sánchez;1954-10-15
11194;Manu de Chacón;1983-08-23
11195;Beatriz Estrada-Ramirez;1957-06-25
11196;Adalberto Frías Martin;1972-03-03
11197;Horacio Prat Ayala;1976-08-14
11198;Rosario Fortuny Vélez;1950-05-09
11199;Ariel Cózar Miró;1993-11-09
11200;Flavio Reina Varela;1963-01-07
11201;Itziar Ávila Arce;1991-05-03
11202;Teresa de Bautista;1964-05-08
11203;Cirino Jeremías Pulido Gomila;1992-11-11
11204;Gervasio Hierro-Casal;1973-06-05
11205;Adela Elba Durán Delgado;1958-03-27
11206;Javi Jimenez Lago;1972-09-05
11207;Eloy Cruz Losa Calderon;1975-06-24
11208;María Belén Bru-Gilabert;1981-03-29
11209;Apolonia del Espada;1971-11-28
11210;Delfina Mate Francisco;1984-03-04
11211;Clemente Soriano Mur;1960-02-09
11212;Amílcar Pepe Herrero Valero;1983-08-27
11213;Tristán Bonet;1956-12-27
11214;Atilio del Olivares;1995-10-11
11215;Ruperto Cal Sala;1955-07-30
11216;Almudena Sabater-Villalba;1980-12-31
11217;Mauricio Conde;1998-06-24
11218;Isidro Ballester Folch;1978-04-04
11219;Eugenia Arellano Haro;1959-11-26
11220;Felipe del Cardona;1953-06-12
11221;Julia Martin Alegre;1957-08-31
11222;Daniela Baeza Cáceres;1949-10-23
11223;Lidia Salvador Santamaría;1991-05-16
11224;Jimena Roldan Peral;1989-02-05
11225;Andrés Uría Miranda;2003-04-16
11226;Raquel Estrella Tejedor Mosquera;1953-04-25
11227;Amalia Amador Burgos;1948-10-03
11228;Fátima Izquierdo Galán;2004-08-17
11229;Josué Botella Mendez;1970-11-24
11230;Macario Duque;1990-08-08
11231;Elisa Viñas Araujo;1980-05-15
11232;Jesús Berto Iborra Vélez;1954-05-08
11233;Ramona Canales-Cámara;1982-02-28
11234;Jorge Hoz Lara;1992-07-03
11235;Reina Higueras Gomis;1997-04-09
11236;Severino Quiroga Páez;1997-07-07
11237;Régulo Fermín Pou Vallés;1991-04-18
11238;Cecilio Angulo Landa;1984-02-20
11239;Miriam Flores Galan;1990-04-02
11240;Bernardita Alemán;1966-05-28
11241;Ernesto Vidal;1957-06-09
11242;Sol Moll Reyes;1951-08-31
11243;Reyes Machado Colomer;1959-11-26
11244;Florentino Máximo Cid Escribano;2001-07-03
11245;Regina Cardona Rosado;1958-01-03
11246;Bernardita Juliá Palomar;1994-07-03
11247;Alfredo Noriega Montero;1958-12-14
11248;Clímaco Victorino Hervás Guerrero;1984-07-17
11249;Marcial Antón-Abad;1971-02-18
11250;Estrella Higueras Jaén;1978-10-12
11251;Curro Caparrós Sureda;1956-09-21
11252;Galo Requena;2003-07-10
11253;Pepito Jaén-Calzada;1981-04-15
11254;Germán Maxi Vilar Lillo;1998-09-21
11255;Santos Lobato Sancho;1991-09-27
11256;Viviana Coca Benavides;1988-05-12
11257;Eusebio Mayoral Solís;1958-12-09
11258;Jacobo del Elorza;1949-03-16
11259;Arturo Baeza Gomez;1955-06-12
11260;Fortunato Paz Corominas;1952-04-11
11261;Máximo Calatayud;1961-04-24
11262;Melisa Arnaiz Izquierdo;1988-09-04
11263;Primitiva Revilla-Milla;1959-01-22
11264;Candelario Bautista-Llanos;1950-07-29
11265;Narcisa Fábregas Lucas;1952-08-24
11266;Candelaria Iniesta Rodriguez;1963-06-08
11267;Onofre Dominguez-Vila;1981-04-03
11268;Chus Alberto Hervás;1984-12-17
11269;Juan Antonio del Fábregas;1989-02-14
11270;Ámbar Jover Blasco;1987-05-16
11271;Aitana Barrios Badía;1983-08-02
11272;Susana Isaura Alvarez Casas;1966-11-03
11273;Mauricio Tenorio Sala;1965-07-04
11274;Ramiro Zurita;1993-05-03
11275;Mireia Llanos Figueroa;1986-04-27
11276;Teresita de Cabezas;1949-04-28
11277;Nidia Trillo Benítez;1948-05-29
11278;Aurelia del Villaverde;1967-01-09
11279;Carmen Mosquera Valera;1966-10-02
11280;Emilia Borrell Pelayo;1984-12-03
11281;Eufemia Sabina Casares Figuerola;1994-06-27
11282;Úrsula del Carranza;1987-12-13
11283;Dorita Menendez-Pinedo;1985-12-27
11284;Aránzazu del Mendez;1952-02-02
11285;Loida Vall Valero;1993-10-12
11286;Estefanía Narváez Trillo;1961-10-19
11287;Aitor Arnal;1972-06-08
11288;Eusebia Jove Camps;1991-06-02
11289;Gabriel del Arteaga;1972-01-16
11290;Dionisio Marcelo Pinilla Benavides;1954-08-04
11291;Felipe de Jordá;1972-01-30
11292;Ambrosio Severo Cazorla Cañizares;1993-11-29
11293;Hipólito Mariño Abellán;1979-01-12
11294;Emiliana Hervás Oller;1953-06-24
11295;Miriam Hervás Pozo;1953-09-21
11296;Fabricio Alonso Tolosa;1984-04-03
11297;Sancho Piñeiro Madrid;1982-10-04
11298;Renato Ulises Armengol Conesa;1987-02-19
11299;Celso Canals Gual;1975-08-23
11300;Carmelita Oliver-Moles;1959-08-20
11301;Olalla del Cañizares;1992-12-19
11302;Sofía del Mena;2001-08-08
11303;Samanta Sastre Galvez;1969-02-27
11304;Calisto Montalbán Ramos;1970-11-30
11305;Régulo Raya Olivera;2001-03-16
11306;Marita Sebastián Guillen;1957-05-11
11307;Juana Calatayud Oliver;1960-10-06
11308;Celso Rocamora Vera;1966-06-07
11309;Florina Paca Acero Burgos;1955-01-29
11310;Toribio Ramos Julián;1950-04-24
11311;Débora Pérez Gómez;1987-06-17
11312;Camilo Jordán Mendoza;1994-07-02
11313;Imelda Iglesias Morcillo;1957-05-21
